GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MavenATMv2,controller,UnBlockAccountController,163,0,26,0,58,0,21,0,5,0
MavenATMv2,controller,ATM,429,0,38,0,124,0,36,0,9,0
MavenATMv2,controller,TransactionController,18,15,0,0,8,6,5,2,5,2
MavenATMv2,controller,ATMApp,10,0,0,0,4,0,2,0,2,0
MavenATMv2,controller,BlockAccountController,163,0,26,0,58,0,21,0,5,0
MavenATMv2,controller,WithdrawalController,65,133,16,16,27,39,13,13,1,5
MavenATMv2,controller,AddAccountController,370,0,59,0,117,0,47,0,12,0
MavenATMv2,controller,BalanceInquiryController,52,0,0,0,17,0,2,0,2,0
MavenATMv2,controller,CashDispenserController,211,12,24,0,57,5,19,1,5,1
MavenATMv2,controller,TransferController,173,0,28,0,63,0,23,0,5,0
MavenATMv2,controller,ViewAccountController,351,0,8,0,42,0,6,0,2,0
MavenATMv2,view,Keypad,12,19,0,0,6,5,2,2,2,2
MavenATMv2,view,Screen,12,11,0,0,2,5,1,3,1,3
MavenATMv2,model,Account,182,48,14,0,70,15,31,4,24,4
MavenATMv2,model,Withdrawal,3,72,1,7,1,22,1,8,0,5
MavenATMv2,model,BankDatabase,121,123,14,6,31,22,18,8,11,5
MavenATMv2,model,Constants,0,3,0,0,0,1,0,1,0,1
MavenATMv2,model,UnBlockAccount,55,0,6,0,20,0,9,0,6,0
MavenATMv2,model,BlockAccount,52,0,6,0,19,0,9,0,6,0
MavenATMv2,model,ViewAccount,7,0,0,0,3,0,2,0,2,0
MavenATMv2,model,DepositSlot,5,0,0,0,2,0,2,0,2,0
MavenATMv2,model,Transfer,104,0,12,0,34,0,15,0,9,0
MavenATMv2,model,Deposit,10,0,0,0,4,0,2,0,2,0
MavenATMv2,model,Transaction,0,15,0,0,0,6,0,3,0,3
MavenATMv2,model,AddAccount,49,0,4,0,18,0,8,0,6,0
MavenATMv2,model,CashDispenser,12,37,1,1,3,12,3,5,2,5
MavenATMv2,model,BalanceInquiry,7,0,0,0,3,0,2,0,2,0
